Data Table for Weekly Case Trends - The United States,,,,,
Date generated: Sat Feb 25 2023 21:10:00 GMT-0800 (Pacific Standard Time),,,,,
Geography,Date,Weekly Cases,New Historic Cases,Weekly Deaths,New Historic Deaths
United States,Jun 24 2020,218877,0,4092,0
United States,Jun 17 2020,158592,0,4638,0
United States,Jun 10 2020,143031,0,5105,0
United States,Jun  3 2020,145888,0,6523,0
United States,May 27 2020,146264,0,6822,0
United States,May 20 2020,157843,0,9505,0
United States,May 13 2020,160079,0,10431,0
United States,May  6 2020,188871,0,12823,0
United States,Apr 29 2020,198050,0,13908,0
United States,Apr 22 2020,198483,0,15448,0
United States,Apr 15 2020,206755,0,15538,0
United States,Apr  8 2020,219474,0,12565,0
United States,Apr  1 2020,153940,0,5093,0
United States,Mar 25 2020,59461,0,1121,0
United States,Mar 18 2020,7950,0,127,0
United States,Mar 11 2020,1135,0,8,0
United States,Mar  4 2020,111,0,6,0
United States,Feb 26 2020,24,0,0,0
United States,Feb 19 2020,15,0,0,0
United States,Feb 12 2020,10,0,0,0
United States,Feb  5 2020,10,0,0,0
United States,Jan 29 2020,6,0,0,0
